"code";"name";"versjon"
"5032";"Selbu";1
"5033";"Tydal";1
"5034";"Meråker";1
"5035";"Stjørdal";1
"5036";"Frosta";1
"5037";"Levanger";1
"5038";"Verdal";1
"5041";"Snåase - Snåsa";1
"5042";"Lierne";1
"5043";"Raarvihke - Røyrvik";1
"5044";"Namsskogan";1
"5045";"Grong";1
"5046";"Høylandet";1
"5047";"Overhalla";1
"5049";"Flatanger";1
"5052";"Leka";1
"5053";"Inderøy";1
"5054";"Indre Fosen";1
"5055";"Heim";1
"5056";"Hitra";1
"5057";"Ørland";1
"5058";"Åfjord";1
"5059";"Orkland";1
"5060";"Nærøysund";1
"5061";"Rindal";1
"5401";"Tromsø";1
"5402";"Harstad - Hárstták";1
"5403";"Alta";1
"5404";"Vardø";1
"5405";"Vadsø";1
"5406";"Hammerfest - Hámmerfeasta";1
"5411";"Kvæfjord";1
"5412";"Dielddanuorri - Tjeldsund";1
"5413";"Ibestad";1
"5414";"Gratangen";1
"5415";"Loabák - Lavangen";1
"5416";"Bardu";1
"5417";"Salangen";1
"5418";"Målselv";1
"5419";"Sørreisa";1
"5420";"Dyrøy";1
"5421";"Senja";1
"5422";"Balsfjord";1
"5423";"Karlsøy";1
"5424";"Lyngen";1
"5425";"Storfjord - Omasvuotna - Omasvuono";1
"5426";"Gáivuotna - Kåfjord - Kaivuono";1
"5427";"Skjervøy";1
"5428";"Nordreisa - Ráisa - Raisi";1
"5429";"Kvænangen";1
"5430";"Guovdageaidnu - Kautokeino";1
"5432";"Loppa";1
"5433";"Hasvik";1
"5434";"Måsøy";1
"5435";"Nordkapp";1
"5436";"Porsanger - Porsá?gu - Porsanki";1
"5437";"Kárá?johka - Karasjok";1
"5438";"Lebesby";1
"5439";"Gamvik";1
"5440";"Berlevåg";1
"5441";"Deatnu - Tana";1
"5442";"Unjárga - Nesseby";1
"5443";"Båtsfjord";1
"5444";"Sør-Varanger";1
"1516,1517,1520,1577";"ULSTEIN, HAREID, ØRSTA, VOLDA";1
"1560,1563,1566,5061";"TINGVOLL, SUNNDAL, SURNADAL, RINDAL";1
