"kommunenummer_2020";"kommunenavn_2020";"historisk_nummer"
"5044";"Namsskogan";"1740"
"5045";"Grong";"1742"
"5046";"Høylandet";"1743"
"5047";"Overhalla";"1744"
"5007";"Namsos - Nåavmesjenjaelmie";"1748"
"5049";"Flatanger";"1749"
"5060";"Nærøysund";"1750"
"5060";"Nærøysund";"1751"
"5052";"Leka";"1755"
"5053";"Inderøy";"1756"
"1804";"Bodø";"1804"
"1806";"Narvik";"1805"
"1811";"Bindal";"1811"
"1812";"Sømna";"1812"
"1813";"Brønnøy";"1813"
"1815";"Vega";"1815"
"1816";"Vevelstad";"1816"
"1818";"Herøy (Nordland)";"1818"
"1820";"Alstahaug";"1820"
"1822";"Leirfjord";"1822"
"1824";"Vefsn";"1824"
"1825";"Grane";"1825"
"1826";"Aarborte - Hattfjelldal";"1826"
"1827";"Dønna";"1827"
"1828";"Nesna";"1828"
"1832";"Hemnes";"1832"
"1833";"Rana";"1833"
"1834";"Lurøy";"1834"
"1835";"Træna";"1835"
"1836";"Rødøy";"1836"
"1837";"Meløy";"1837"
"1838";"Gildeskål";"1838"
"1839";"Beiarn";"1839"
"1840";"Saltdal";"1840"
"1841";"Fauske - Fuossko";"1841"
"1845";"Sørfold";"1845"
"1848";"Steigen";"1848"
"1875";"Hábmer - Hamarøy";"1849"
"1806";"Narvik";"1850"
"1875";"Hábmer - Hamarøy";"1850"
"1851";"Lødingen";"1851"
"5412";"Dielddanuorri - Tjeldsund";"1852"
"1853";"Evenes";"1853"
"1806";"Narvik";"1854"
"1856";"Røst";"1856"
"1857";"Værøy";"1857"
"1859";"Flakstad";"1859"
"1860";"Vestvågøy";"1860"
"1865";"Vågan";"1865"
"1866";"Hadsel";"1866"
"1867";"Bø";"1867"
"1868";"Øksnes";"1868"
"1870";"Sortland - Suortá";"1870"
"1871";"Andøy";"1871"
"1874";"Moskenes";"1874"
"5401";"Tromsø";"1902"
"5402";"Harstad - Hárstták";"1903"
"5411";"Kvæfjord";"1911"
"5412";"Dielddanuorri - Tjeldsund";"1913"
"5413";"Ibestad";"1917"
"5414";"Gratangen";"1919"
"5415";"Loabák - Lavangen";"1920"
"5416";"Bardu";"1922"
"5417";"Salangen";"1923"
"5418";"Målselv";"1924"
"5419";"Sørreisa";"1925"
"5420";"Dyrøy";"1926"
"5421";"Senja";"1927"
"5421";"Senja";"1928"
"5421";"Senja";"1929"
"5421";"Senja";"1931"
"5422";"Balsfjord";"1933"
"5423";"Karlsøy";"1936"
"5424";"Lyngen";"1938"
"5425";"Storfjord - Omasvuotna - Omasvuono";"1939"
"5426";"Gáivuotna - Kåfjord - Kaivuono";"1940"
"5427";"Skjervøy";"1941"
"5428";"Nordreisa - Ráisa - Raisi";"1942"
"5429";"Kvænangen";"1943"
"5404";"Vardø";"2002"
"5405";"Vadsø";"2003"
"5406";"Hammerfest - Hámmerfeasta";"2004"
"5430";"Guovdageaidnu - Kautokeino";"2011"
"5403";"Alta";"2012"
"5432";"Loppa";"2014"
"5433";"Hasvik";"2015"
"5406";"Hammerfest - Hámmerfeasta";"2017"
"5434";"Måsøy";"2018"
"5435";"Nordkapp";"2019"
"5436";"Porsanger - Porsá?gu - Porsanki";"2020"
"5437";"Kárá?johka - Karasjok";"2021"
"5438";"Lebesby";"2022"
"5439";"Gamvik";"2023"
"5440";"Berlevåg";"2024"
"5441";"Deatnu - Tana";"2025"
"5442";"Unjárga - Nesseby";"2027"
"5443";"Båtsfjord";"2028"
"5444";"Sør-Varanger";"2030"
"5001";"Trondheim";"5001"
"5006";"Steinkjer";"5004"
"5007";"Namsos - Nåavmesjenjaelmie";"5005"
"5055";"Heim";"5011"
"5055";"Heim";"5012"
"5056";"Hitra";"5012"
"5059";"Orkland";"5012"
"5056";"Hitra";"5013"
"5014";"Frøya";"5014"
"5057";"Ørland";"5015"
"5059";"Orkland";"5016"
"5057";"Ørland";"5017"
"5058";"Åfjord";"5018"
"5058";"Åfjord";"5019"
"5020";"Osen";"5020"
"5021";"Oppdal";"5021"
"5022";"Rennebu";"5022"
"5059";"Orkland";"5023"
"5059";"Orkland";"5024"
"5025";"Røros";"5025"
"5026";"Holtålen";"5026"
"5027";"Midtre Gauldal";"5027"
"5028";"Melhus";"5028"
"5029";"Skaun";"5029"
"5001";"Trondheim";"5030"
"5031";"Malvik";"5031"
"5032";"Selbu";"5032"
"5033";"Tydal";"5033"
"5034";"Meråker";"5034"
"5035";"Stjørdal";"5035"
"5036";"Frosta";"5036"
"5037";"Levanger";"5037"
"5038";"Verdal";"5038"
"5006";"Steinkjer";"5039"
"5007";"Namsos - Nåavmesjenjaelmie";"5040"
"5041";"Snåase - Snåsa";"5041"
"5042";"Lierne";"5042"
"5043";"Raarvihke - Røyrvik";"5043"
"5044";"Namsskogan";"5044"
"5045";"Grong";"5045"
"5046";"Høylandet";"5046"
"5047";"Overhalla";"5047"
"5007";"Namsos - Nåavmesjenjaelmie";"5048"
"5049";"Flatanger";"5049"
"5060";"Nærøysund";"5050"
"5060";"Nærøysund";"5051"
"5052";"Leka";"5052"
"5053";"Inderøy";"5053"
"5054";"Indre Fosen";"5054"
"5061";"Rindal";"5061"
"9999";"Uoppgitt";"9999"
