"kommunenummer_2018";"kommunenavn_2018";"kommunenummer_2019";"kommunenavn_2019";"endringsmerknad_18_19"
"0821";"Bø";"0821";"Bø";"uendret fra 2018 til 2019"
"0822";"Sauherad";"0822";"Sauherad";"uendret fra 2018 til 2019"
"0826";"Tinn";"0826";"Tinn";"uendret fra 2018 til 2019"
"0827";"Hjartdal";"0827";"Hjartdal";"uendret fra 2018 til 2019"
"0828";"Seljord";"0828";"Seljord";"uendret fra 2018 til 2019"
"0829";"Kviteseid";"0829";"Kviteseid";"uendret fra 2018 til 2019"
"0830";"Nissedal";"0830";"Nissedal";"uendret fra 2018 til 2019"
"0831";"Fyresdal";"0831";"Fyresdal";"uendret fra 2018 til 2019"
"0833";"Tokke";"0833";"Tokke";"uendret fra 2018 til 2019"
"0834";"Vinje";"0834";"Vinje";"uendret fra 2018 til 2019"
"0901";"Risør";"0901";"Risør";"uendret fra 2018 til 2019"
"0904";"Grimstad";"0904";"Grimstad";"uendret fra 2018 til 2019"
"0906";"Arendal";"0906";"Arendal";"uendret fra 2018 til 2019"
"0911";"Gjerstad";"0911";"Gjerstad";"uendret fra 2018 til 2019"
"0912";"Vegårshei";"0912";"Vegårshei";"uendret fra 2018 til 2019"
"0914";"Tvedestrand";"0914";"Tvedestrand";"uendret fra 2018 til 2019"
"0919";"Froland";"0919";"Froland";"uendret fra 2018 til 2019"
"0926";"Lillesand";"0926";"Lillesand";"uendret fra 2018 til 2019"
"0928";"Birkenes";"0928";"Birkenes";"uendret fra 2018 til 2019"
"0929";"Åmli";"0929";"Åmli";"uendret fra 2018 til 2019"
"0935";"Iveland";"0935";"Iveland";"uendret fra 2018 til 2019"
"0937";"Evje og Hornnes";"0937";"Evje og Hornnes";"uendret fra 2018 til 2019"
"0938";"Bygland";"0938";"Bygland";"uendret fra 2018 til 2019"
"0940";"Valle";"0940";"Valle";"uendret fra 2018 til 2019"
"0941";"Bykle";"0941";"Bykle";"uendret fra 2018 til 2019"
"1001";"Kristiansand";"1001";"Kristiansand";"uendret fra 2018 til 2019"
"1002";"Mandal";"1002";"Mandal";"uendret fra 2018 til 2019"
"1003";"Farsund";"1003";"Farsund";"uendret fra 2018 til 2019"
"1004";"Flekkefjord";"1004";"Flekkefjord";"uendret fra 2018 til 2019"
"1014";"Vennesla";"1014";"Vennesla";"uendret fra 2018 til 2019"
"1017";"Songdalen";"1017";"Songdalen";"uendret fra 2018 til 2019"
"1018";"Søgne";"1018";"Søgne";"uendret fra 2018 til 2019"
"1021";"Marnardal";"1021";"Marnardal";"uendret fra 2018 til 2019"
"1026";"Åseral";"1026";"Åseral";"uendret fra 2018 til 2019"
"1027";"Audnedal";"1027";"Audnedal";"uendret fra 2018 til 2019"
"1029";"Lindesnes";"1029";"Lindesnes";"uendret fra 2018 til 2019"
"1032";"Lyngdal";"1032";"Lyngdal";"uendret fra 2018 til 2019"
"1034";"Hægebostad";"1034";"Hægebostad";"uendret fra 2018 til 2019"
"1037";"Kvinesdal";"1037";"Kvinesdal";"uendret fra 2018 til 2019"
"1046";"Sirdal";"1046";"Sirdal";"uendret fra 2018 til 2019"
"1101";"Eigersund";"1101";"Eigersund";"uendret fra 2018 til 2019"
"1102";"Sandnes";"1102";"Sandnes";"uendret fra 2018 til 2019"
"1103";"Stavanger";"1103";"Stavanger";"uendret fra 2018 til 2019"
"1106";"Haugesund";"1106";"Haugesund";"uendret fra 2018 til 2019"
"1111";"Sokndal";"1111";"Sokndal";"uendret fra 2018 til 2019"
"1112";"Lund";"1112";"Lund";"uendret fra 2018 til 2019"
"1114";"Bjerkreim";"1114";"Bjerkreim";"uendret fra 2018 til 2019"
"1119";"Hå";"1119";"Hå";"uendret fra 2018 til 2019"
"1120";"Klepp";"1120";"Klepp";"uendret fra 2018 til 2019"
"1121";"Time";"1121";"Time";"uendret fra 2018 til 2019"
"1122";"Gjesdal";"1122";"Gjesdal";"uendret fra 2018 til 2019"
"1124";"Sola";"1124";"Sola";"uendret fra 2018 til 2019"
"1127";"Randaberg";"1127";"Randaberg";"uendret fra 2018 til 2019"
"1129";"Forsand";"1129";"Forsand";"uendret fra 2018 til 2019"
"1130";"Strand";"1130";"Strand";"uendret fra 2018 til 2019"
"1133";"Hjelmeland";"1133";"Hjelmeland";"uendret fra 2018 til 2019"
"1134";"Suldal";"1134";"Suldal";"uendret fra 2018 til 2019"
"1135";"Sauda";"1135";"Sauda";"uendret fra 2018 til 2019"
"1141";"Finnøy";"1141";"Finnøy";"uendret fra 2018 til 2019"
"1142";"Rennesøy";"1142";"Rennesøy";"uendret fra 2018 til 2019"
"1144";"Kvitsøy";"1144";"Kvitsøy";"uendret fra 2018 til 2019"
"1145";"Bokn";"1145";"Bokn";"uendret fra 2018 til 2019"
"1146";"Tysvær";"1146";"Tysvær";"uendret fra 2018 til 2019"
"1149";"Karmøy";"1149";"Karmøy";"uendret fra 2018 til 2019"
"1151";"Utsira";"1151";"Utsira";"uendret fra 2018 til 2019"
"1160";"Vindafjord";"1160";"Vindafjord";"uendret fra 2018 til 2019"
"1201";"Bergen";"1201";"Bergen";"uendret fra 2018 til 2019"
"1211";"Etne";"1211";"Etne";"uendret fra 2018 til 2019"
"1216";"Sveio";"1216";"Sveio";"uendret fra 2018 til 2019"
"1219";"Bømlo";"1219";"Bømlo";"uendret fra 2018 til 2019"
"1221";"Stord";"1221";"Stord";"uendret fra 2018 til 2019"
"1222";"Fitjar";"1222";"Fitjar";"uendret fra 2018 til 2019"
"1223";"Tysnes";"1223";"Tysnes";"uendret fra 2018 til 2019"
"1224";"Kvinnherad";"1224";"Kvinnherad";"uendret fra 2018 til 2019"
"1227";"Jondal";"1227";"Jondal";"uendret fra 2018 til 2019"
"1228";"Odda";"1228";"Odda";"uendret fra 2018 til 2019"
"1231";"Ullensvang";"1231";"Ullensvang";"uendret fra 2018 til 2019"
"1232";"Eidfjord";"1232";"Eidfjord";"uendret fra 2018 til 2019"
"1233";"Ulvik";"1233";"Ulvik";"uendret fra 2018 til 2019"
"1234";"Granvin";"1234";"Granvin";"uendret fra 2018 til 2019"
"1235";"Voss";"1235";"Voss";"uendret fra 2018 til 2019"
"1238";"Kvam";"1238";"Kvam";"uendret fra 2018 til 2019"
"1241";"Fusa";"1241";"Fusa";"uendret fra 2018 til 2019"
"1242";"Samnanger";"1242";"Samnanger";"uendret fra 2018 til 2019"
"1243";"Os";"1243";"Os";"uendret fra 2018 til 2019"
"1244";"Austevoll";"1244";"Austevoll";"uendret fra 2018 til 2019"
"1245";"Sund";"1245";"Sund";"uendret fra 2018 til 2019"
"1246";"Fjell";"1246";"Fjell";"uendret fra 2018 til 2019"
"1247";"Askøy";"1247";"Askøy";"uendret fra 2018 til 2019"
"1251";"Vaksdal";"1251";"Vaksdal";"uendret fra 2018 til 2019"
"1252";"Modalen";"1252";"Modalen";"uendret fra 2018 til 2019"
"1253";"Osterøy";"1253";"Osterøy";"uendret fra 2018 til 2019"
"1256";"Meland";"1256";"Meland";"uendret fra 2018 til 2019"
"1259";"Øygarden";"1259";"Øygarden";"uendret fra 2018 til 2019"
"1260";"Radøy";"1260";"Radøy";"uendret fra 2018 til 2019"
"1263";"Lindås";"1263";"Lindås";"uendret fra 2018 til 2019"
"1264";"Austrheim";"1264";"Austrheim";"uendret fra 2018 til 2019"
"1265";"Fedje";"1265";"Fedje";"uendret fra 2018 til 2019"
"1266";"Masfjorden";"1266";"Masfjorden";"uendret fra 2018 til 2019"
"1401";"Flora";"1401";"Flora";"uendret fra 2018 til 2019"
"1411";"Gulen";"1411";"Gulen";"uendret fra 2018 til 2019"
"1412";"Solund";"1412";"Solund";"uendret fra 2018 til 2019"
"1413";"Hyllestad";"1413";"Hyllestad";"uendret fra 2018 til 2019"
"1416";"Høyanger";"1416";"Høyanger";"uendret fra 2018 til 2019"
"1417";"Vik";"1417";"Vik";"uendret fra 2018 til 2019"
"1418";"Balestrand";"1418";"Balestrand";"uendret fra 2018 til 2019"
"1419";"Leikanger";"1419";"Leikanger";"uendret fra 2018 til 2019"
"1420";"Sogndal";"1420";"Sogndal";"uendret fra 2018 til 2019"
"1421";"Aurland";"1421";"Aurland";"uendret fra 2018 til 2019"
"1422";"Lærdal";"1422";"Lærdal";"uendret fra 2018 til 2019"
"1424";"Årdal";"1424";"Årdal";"uendret fra 2018 til 2019"
"1426";"Luster";"1426";"Luster";"uendret fra 2018 til 2019"
"1428";"Askvoll";"1428";"Askvoll";"uendret fra 2018 til 2019"
"1429";"Fjaler";"1429";"Fjaler";"uendret fra 2018 til 2019"
"1430";"Gaular";"1430";"Gaular";"uendret fra 2018 til 2019"
"1431";"Jølster";"1431";"Jølster";"uendret fra 2018 til 2019"
"1432";"Førde";"1432";"Førde";"uendret fra 2018 til 2019"
"1433";"Naustdal";"1433";"Naustdal";"uendret fra 2018 til 2019"
