kommuner_2019;kommuner_2020;splittes
2004 - Hammerfest - Hámmerfeasta;5406 - Hammerfest - Hámmerfeasta;0
2011 - Guovdageaidnu - Kautokeino;5430 - Guovdageaidnu - Kautokeino;0
2012 - Alta;5403 - Alta;0
2014 - Loppa;5432 - Loppa;0
2015 - Hasvik;5433 - Hasvik;0
2017 - Kvalsund;5406 - Hammerfest - Hámmerfeasta;0
2018 - Måsøy;5434 - Måsøy;0
2019 - Nordkapp;5435 - Nordkapp;0
2020 - Porsanger - Porsángu - Porsanki;5436 - Porsanger - Porsá?gu - Porsanki;0
2021 - Kárášjohka - Karasjok;5437 - Kárášjohka - Karasjok;0
2022 - Lebesby;5438 - Lebesby;0
2023 - Gamvik;5439 - Gamvik;0
2024 - Berlevåg;5440 - Berlevåg;0
2025 - Deatnu - Tana;5441 - Deatnu - Tana;0
2027 - Unjárga - Nesseby;5442 - Unjárga - Nesseby;0
2028 - Båtsfjord;5443 - Båtsfjord;0
2030 - Sør-Varanger;5444 - Sør-Varanger;0
5004 - Steinkjer;5006 - Steinkjer;0
5005 - Namsos - Nåavmesjenjaelmie;5007 - Namsos - Nåavmesjenjaelmie;0
5011 - Hemne;5055 - Heim;0
5012 - Snillfjord;5055 - Heim;1
5012 - Snillfjord;5056 - Hitra;1
5012 - Snillfjord;5059 - Orkland;1
5013 - Hitra;5056 - Hitra;0
5015 - Ørland;5057 - Ørland;0
5016 - Agdenes;5059 - Orkland;0
5017 - Bjugn;5057 - Ørland;0
5018 - Åfjord;5058 - Åfjord;0
5019 - Roan;5058 - Åfjord;0
5023 - Meldal;5059 - Orkland;0
5024 - Orkdal;5059 - Orkland;0
5030 - Klæbu;5001 - Trondheim;0
5039 - Verran;5006 - Steinkjer;0
5040 - Namdalseid;5007 - Namsos - Nåavmesjenjaelmie;0
5048 - Fosnes;5007 - Namsos - Nåavmesjenjaelmie;0
5050 - Vikna;5060 - Nærøysund;0
5051 - Nærøy;5060 - Nærøysund;0
