"kommunenummer_2013";"kommunenavn_2013";"kommunenummer_2017";"kommunenavn_2017";"endringsmerknad_13_17";"kommunenummer_2018";"kommunenavn_2018";"endringsmerknad_17_18";"kommunenummer_2019";"kommunenavn_2019";"endringsmerknad_18_19";"kommunenummer_2020";"kommunenavn_2020";"endringsmerknad_19_20"
"0532";"Jevnaker";"0532";"Jevnaker";"uendret fra 2013 til 2017";"0532";"Jevnaker";"uendret fra 2017 til 2018";"0532";"Jevnaker";"uendret fra 2018 til 2019";"3053";"Jevnaker";"kun endret nummer fra 2019 til 2020"
"0533";"Lunner";"0533";"Lunner";"uendret fra 2013 til 2017";"0533";"Lunner";"uendret fra 2017 til 2018";"0533";"Lunner";"uendret fra 2018 til 2019";"3054";"Lunner";"kun endret nummer fra 2019 til 2020"
"0534";"Gran";"0534";"Gran";"uendret fra 2013 til 2017";"0534";"Gran";"uendret fra 2017 til 2018";"0534";"Gran";"uendret fra 2018 til 2019";"3446";"Gran";"kun endret nummer fra 2019 til 2020"
"0536";"Søndre Land";"0536";"Søndre Land";"uendret fra 2013 til 2017";"0536";"Søndre Land";"uendret fra 2017 til 2018";"0536";"Søndre Land";"uendret fra 2018 til 2019";"3447";"Søndre Land";"kun endret nummer fra 2019 til 2020"
"0538";"Nordre Land";"0538";"Nordre Land";"uendret fra 2013 til 2017";"0538";"Nordre Land";"uendret fra 2017 til 2018";"0538";"Nordre Land";"uendret fra 2018 til 2019";"3448";"Nordre Land";"kun endret nummer fra 2019 til 2020"
"0540";"Sør-Aurdal";"0540";"Sør-Aurdal";"uendret fra 2013 til 2017";"0540";"Sør-Aurdal";"uendret fra 2017 til 2018";"0540";"Sør-Aurdal";"uendret fra 2018 til 2019";"3449";"Sør-Aurdal";"kun endret nummer fra 2019 til 2020"
"0541";"Etnedal";"0541";"Etnedal";"uendret fra 2013 til 2017";"0541";"Etnedal";"uendret fra 2017 til 2018";"0541";"Etnedal";"uendret fra 2018 til 2019";"3450";"Etnedal";"kun endret nummer fra 2019 til 2020"
"0542";"Nord-Aurdal";"0542";"Nord-Aurdal";"uendret fra 2013 til 2017";"0542";"Nord-Aurdal";"uendret fra 2017 til 2018";"0542";"Nord-Aurdal";"uendret fra 2018 til 2019";"3451";"Nord-Aurdal";"kun endret nummer fra 2019 til 2020"
"0543";"Vestre Slidre";"0543";"Vestre Slidre";"uendret fra 2013 til 2017";"0543";"Vestre Slidre";"uendret fra 2017 til 2018";"0543";"Vestre Slidre";"uendret fra 2018 til 2019";"3452";"Vestre Slidre";"kun endret nummer fra 2019 til 2020"
"0544";"Øystre Slidre";"0544";"Øystre Slidre";"uendret fra 2013 til 2017";"0544";"Øystre Slidre";"uendret fra 2017 til 2018";"0544";"Øystre Slidre";"uendret fra 2018 til 2019";"3453";"Øystre Slidre";"kun endret nummer fra 2019 til 2020"
"0545";"Vang";"0545";"Vang";"uendret fra 2013 til 2017";"0545";"Vang";"uendret fra 2017 til 2018";"0545";"Vang";"uendret fra 2018 til 2019";"3454";"Vang";"kun endret nummer fra 2019 til 2020"
"0602";"Drammen";"0602";"Drammen";"uendret fra 2013 til 2017";"0602";"Drammen";"uendret fra 2017 til 2018";"0602";"Drammen";"uendret fra 2018 til 2019";"3005";"Drammen";"slått sammen fra 2019 til 2020"
"0604";"Kongsberg";"0604";"Kongsberg";"uendret fra 2013 til 2017";"0604";"Kongsberg";"uendret fra 2017 til 2018";"0604";"Kongsberg";"uendret fra 2018 til 2019";"3006";"Kongsberg";"kun endret nummer fra 2019 til 2020"
"0605";"Ringerike";"0605";"Ringerike";"uendret fra 2013 til 2017";"0605";"Ringerike";"uendret fra 2017 til 2018";"0605";"Ringerike";"uendret fra 2018 til 2019";"3007";"Ringerike";"kun endret nummer fra 2019 til 2020"
"0612";"Hole";"0612";"Hole";"uendret fra 2013 til 2017";"0612";"Hole";"uendret fra 2017 til 2018";"0612";"Hole";"uendret fra 2018 til 2019";"3038";"Hole";"kun endret nummer fra 2019 til 2020"
"0615";"Flå";"0615";"Flå";"uendret fra 2013 til 2017";"0615";"Flå";"uendret fra 2017 til 2018";"0615";"Flå";"uendret fra 2018 til 2019";"3039";"Flå";"kun endret nummer fra 2019 til 2020"
"0616";"Nes";"0616";"Nes";"uendret fra 2013 til 2017";"0616";"Nes";"uendret fra 2017 til 2018";"0616";"Nes";"uendret fra 2018 til 2019";"3040";"Nesbyen";"kun endret nummer fra 2019 til 2020"
"0617";"Gol";"0617";"Gol";"uendret fra 2013 til 2017";"0617";"Gol";"uendret fra 2017 til 2018";"0617";"Gol";"uendret fra 2018 til 2019";"3041";"Gol";"kun endret nummer fra 2019 til 2020"
"0618";"Hemsedal";"0618";"Hemsedal";"uendret fra 2013 til 2017";"0618";"Hemsedal";"uendret fra 2017 til 2018";"0618";"Hemsedal";"uendret fra 2018 til 2019";"3042";"Hemsedal";"kun endret nummer fra 2019 til 2020"
"0619";"Ål";"0619";"Ål";"uendret fra 2013 til 2017";"0619";"Ål";"uendret fra 2017 til 2018";"0619";"Ål";"uendret fra 2018 til 2019";"3043";"Ål";"kun endret nummer fra 2019 til 2020"
"0620";"Hol";"0620";"Hol";"uendret fra 2013 til 2017";"0620";"Hol";"uendret fra 2017 til 2018";"0620";"Hol";"uendret fra 2018 til 2019";"3044";"Hol";"kun endret nummer fra 2019 til 2020"
"0621";"Sigdal";"0621";"Sigdal";"uendret fra 2013 til 2017";"0621";"Sigdal";"uendret fra 2017 til 2018";"0621";"Sigdal";"uendret fra 2018 til 2019";"3045";"Sigdal";"kun endret nummer fra 2019 til 2020"
"0622";"Krødsherad";"0622";"Krødsherad";"uendret fra 2013 til 2017";"0622";"Krødsherad";"uendret fra 2017 til 2018";"0622";"Krødsherad";"uendret fra 2018 til 2019";"3046";"Krødsherad";"kun endret nummer fra 2019 til 2020"
"0623";"Modum";"0623";"Modum";"uendret fra 2013 til 2017";"0623";"Modum";"uendret fra 2017 til 2018";"0623";"Modum";"uendret fra 2018 til 2019";"3047";"Modum";"kun endret nummer fra 2019 til 2020"
"0624";"Øvre Eiker";"0624";"Øvre Eiker";"uendret fra 2013 til 2017";"0624";"Øvre Eiker";"uendret fra 2017 til 2018";"0624";"Øvre Eiker";"uendret fra 2018 til 2019";"3048";"Øvre Eiker";"kun endret nummer fra 2019 til 2020"
"0625";"Nedre Eiker";"0625";"Nedre Eiker";"uendret fra 2013 til 2017";"0625";"Nedre Eiker";"uendret fra 2017 til 2018";"0625";"Nedre Eiker";"uendret fra 2018 til 2019";"3005";"Drammen";"slått sammen fra 2019 til 2020"
"0626";"Lier";"0626";"Lier";"uendret fra 2013 til 2017";"0626";"Lier";"uendret fra 2017 til 2018";"0626";"Lier";"uendret fra 2018 til 2019";"3049";"Lier";"kun endret nummer fra 2019 til 2020"
"0627";"Røyken";"0627";"Røyken";"uendret fra 2013 til 2017";"0627";"Røyken";"uendret fra 2017 til 2018";"0627";"Røyken";"uendret fra 2018 til 2019";"3025";"Asker";"slått sammen fra 2019 til 2020"
"0628";"Hurum";"0628";"Hurum";"uendret fra 2013 til 2017";"0628";"Hurum";"uendret fra 2017 til 2018";"0628";"Hurum";"uendret fra 2018 til 2019";"3025";"Asker";"slått sammen fra 2019 til 2020"
"0631";"Flesberg";"0631";"Flesberg";"uendret fra 2013 til 2017";"0631";"Flesberg";"uendret fra 2017 til 2018";"0631";"Flesberg";"uendret fra 2018 til 2019";"3050";"Flesberg";"kun endret nummer fra 2019 til 2020"
"0632";"Rollag";"0632";"Rollag";"uendret fra 2013 til 2017";"0632";"Rollag";"uendret fra 2017 til 2018";"0632";"Rollag";"uendret fra 2018 til 2019";"3051";"Rollag";"kun endret nummer fra 2019 til 2020"
"0633";"Nore og Uvdal";"0633";"Nore og Uvdal";"uendret fra 2013 til 2017";"0633";"Nore og Uvdal";"uendret fra 2017 til 2018";"0633";"Nore og Uvdal";"uendret fra 2018 til 2019";"3052";"Nore og Uvdal";"kun endret nummer fra 2019 til 2020"
"0701";"Horten";"0701";"Horten";"uendret fra 2013 til 2017";"0701";"Horten";"uendret fra 2017 til 2018";"0701";"Horten";"uendret fra 2018 til 2019";"3801";"Horten";"kun endret nummer fra 2019 til 2020"
"0702";"Holmestrand";"0702";"Holmestrand";"uendret fra 2013 til 2017";"0715";"Holmestrand";"slått sammen fra 2017 til 2018";"0715";"Holmestrand";"uendret fra 2018 til 2019";"3802";"Holmestrand";"slått sammen fra 2019 til 2020"
"0704";"Tønsberg";"0704";"Tønsberg";"uendret fra 2013 til 2017";"0704";"Tønsberg";"uendret fra 2017 til 2018";"0704";"Tønsberg";"uendret fra 2018 til 2019";"3803";"Tønsberg";"slått sammen fra 2019 til 2020"
